Campaign ID,Campaign,Ad group ID,Ad group,Network,Network (with search partners),Keyword,Clicks,Cost,Day,Currency,Keyword ID
776256378,* Покраска / СПБ / Поиск,46330018932,покраска нива шевроле 540,Search Network,Google search,"+покраска +нива +шевроле",1,90000,2021-05-20,USD,119653978882
776256381,* Покраска / СПБ / Поиск -1,40561690077,точечная покраска автомобиля 1278,Search Network,Google search,"+точечная +покраска +автомобиля",1,200000,2021-05-20,USD,28423372811
776256384,Ремонт_поиск_СПБ,39155987725,удаление вмятин +на автомобиле 2996,Search Network,Google search,"+удаление +вмятин на +автомобиле",1,150000,2021-05-20,USD,40964053880
776256378,* Покраска / СПБ / Поиск,44734631990,покрасить бампер цена спб 495,Search Network,Google search,"+покрасить +бампер +цена +спб",1,90000,2021-05-20,USD,284752490372
776256378,* Покраска / СПБ / Поиск,44734626390,покрасить бмв 424,Search Network,Google search,"+покрасить +бмв",1,90000,2021-05-20,USD,83261556544
776256378,* Покраска / СПБ / Поиск,46330039172,покраска авто +в 2 цвета 794,Search Network,Google search,"+покраска +авто в +2 +цвета",1,110000,2021-05-20,USD,87063993703
776256384,Ремонт_поиск_СПБ,39155971405,убрать вмятину +на машине цена 2792,Search Network,Google search,"+убрать +вмятину на +машине +цена",1,150000,2021-05-20,USD,65997774082
776256378,* Покраска / СПБ / Поиск,46330028532,покраска авто раптором цена 660,Search Network,Google search,"+покраска +авто +раптором +цена",1,90000,2021-05-20,USD,137115893836
776256384,Ремонт_поиск_СПБ,39155980925,автостекло замена петербург 2910,Search Network,Google search,"+автостекло +замена +петербург",1,140000,2021-05-20,USD,149137646919
776256378,* Покраска / СПБ / Поиск,44734613510,покраска элемента цена 264,Search Network,Google search,"+покраска +элемента +цена",2,160000,2021-05-20,USD,259029184008
776256378,* Покраска / СПБ / Поиск,44734626230,покрасить передний бампер 423,Search Network,Google search,"+покрасить +передний +бампер",1,90000,2021-05-20,USD,68434816585
776256378,* Покраска / СПБ / Поиск,46330029572,покраска машины раптором 674,Search Network,Google search,"+покраска +машины +раптором",1,100000,2021-05-20,USD,79709093775
776256378,* Покраска / СПБ / Поиск,44734611270,покраска бампера 235,Search Network,Google search,"+покраска +бампера",1,60000,2021-05-20,USD,29532229851
776256384,Ремонт_поиск_СПБ,39155986765,ремонт сколов +на кузове автомобиля 2984,Search Network,Google search,"+ремонт +сколов на +кузове +автомобиля",4,470000,2021-05-20,USD,92411909111
776256378,* Покраска / СПБ / Поиск,44734610870,покраска авто 231,Search Network,Google search,"+покраска +авто",1,120000,2021-05-20,USD,29738247998
776256378,* Покраска / СПБ / Поиск,46330031492,покраска авто титаном 698,Search Network,Google search,"+покраска +авто +титаном",1,90000,2021-05-20,USD,257830981362
776256378,* Покраска / СПБ / Поиск,46330023532,покраска дисков автомобиля 598,Search Network,Google search,"+покраска +дисков +автомобиля",1,70000,2021-05-20,USD,28423371011
776256384,Ремонт_поиск_СПБ,39155960085,ремонт колесных арок 2650,Search Network,Google search,"+ремонт +колесных +арок",1,150000,2021-05-20,USD,135063534555
776256378,* Покраска / СПБ / Поиск,44734621190,покраска деталей автомобиля 360,Search Network,Google search,"+покраска +деталей +автомобиля",1,90000,2021-05-20,USD,28423368491
776256384,Ремонт_поиск_СПБ,39155982925,удаление ржавчины +с кузова 2936,Search Network,Google search,"+удаление +ржавчины с +кузова",1,110000,2021-05-20,USD,148740688358
776256381,* Покраска / СПБ / Поиск -1,40561687677,стоимость покраски автомобиля 1248,Search Network,Google search,"+стоимость +покраски +автомобиля",2,300000,2021-05-20,USD,28423373771
776256378,* Покраска / СПБ / Поиск,44734619750,покрасить бампер цена 342,Search Network,Google search,"+покрасить +бампер +цена",1,120000,2021-05-20,USD,55943683458
776256384,Ремонт_поиск_СПБ,39155956765,переварить пороги цена спб 2609,Search Network,Google search,"+переварить +пороги +цена +спб",1,150000,2021-05-20,USD,289015124146
776256369,Кузовной ремонт / СПб / Поиск,44734596230,Новая группа объявлений 46,Search Network,Google search,"+Кузовной +ремонт +КИА",1,170000,2021-05-20,USD,48433812298
776256381,* Покраска / СПБ / Поиск -1,40561692917,эксклюзивная покраска авто 1313,Search Network,Google search,"+эксклюзивная +покраска +авто",1,130000,2021-05-20,USD,32553704477
776256384,Ремонт_поиск_СПБ,39155978565,ремонт сколов +на кузове автомобиля спб 2881,Search Network,Google search,"+ремонт +сколов на +кузове +автомобиля +спб",1,150000,2021-05-20,USD,289816164922
776256378,* Покраска / СПБ / Поиск,44734622590,покраска bmw 377,Search Network,Google search,"+покраска +bmw",1,120000,2021-05-20,USD,66888976323
